,artist_id,artist_name,genres
209,4Uc8Dsxct0oMqx0P6i60ea,Conan Gray,"bedroom pop,pop,pov: indie"
210,6fWVd57NKTalqvmjRd2t8Z,24kGoldn,"cali rap,pop rap"
211,0H39MdGGX6dbnnQPt6NQkZ,SAINt JHN,"melodic rap,slap house"
212,5rGrDvrLOV2VV8SCFVGWlj,Imanbek,"electro house,pop dance,slap house"
213,4ETSs924pXMzjIeD6E9b4u,Surfaces,bedroom soul
214,3hcs9uc56yIGFCSy9leWe7,Lil Durk,"chicago drill,chicago rap,drill,hip hop,rap,trap"
215,7MPGCB854Qo4alYMOPkBka,Ritt Momney,bedroom pop
216,6MPCFvOQv5cIGfw3jODMF0,Internet Money,pop rap
217,2hlmm7s2ICUX0LVIhVFlZQ,Gunna,"atl hip hop,melodic rap,rap,trap"
218,4Gso3d4CscCijv0lmajZWs,Don Toliver,"pop rap,rap,trap"
219,7rkW85dBwwrJtlHRDkJDAC,NAV,"canadian hip hop,canadian trap,melodic rap,rap,trap"
220,7dGJo4pcD2V6oG8kP0tJRR,Eminem,"detroit hip hop,hip hop,rap"
221,0Cp8WN4V8Tu4QJQwCN5Md4,BENEE,"alt z,nz pop"
222,6sHCvZe1PHrOAuYlwTLNH4,Gus Dapperton,"bedroom pop,indie poptimism,pov: indie"
223,45dkTj5sMRSjrmBSBeiHym,Tate McRae,"alt z,pop"
224,1lmU3giNF3CSbkVSQmLpHQ,Surf Mesa,pop edm
225,4ArPQ1Opcksbbf3CPwEjWE,Emilee,social media pop
226,56mfhUDKa1vec6rSLZV5Eg,Jawsh 685,nz pop
227,6vWDO969PvNqNYHIOW5v0m,Beyoncé,"pop,r&b"
228,4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,"hip hop,melodic rap,philly rap,rage rap,rap"
229,2PaZWGu5T5nHjY2xxAkFsT,THE SCOTTS,viral rap
230,0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,"hip hop,ohio hip hop,pop rap,rap"
231,2LIk90788K0zvyj2JJVwkJ,Jack Harlow,"deep underground hip hop,kentucky hip hop,pop rap,rap"
232,2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,"canadian hip hop,canadian trap,melodic rap,pop rap,r&b,rap,trap"
233,55Aa2cqylxrFIXC767Z865,Lil Wayne,"hip hop,new orleans rap,pop rap,rap,trap"
234,0u6GtibW46tFX7koQ6uNJZ,Topic,"german dance,pop dance,pop edm,uk dance"
235,5Wg2b4Mp42gicxEeDNawf7,A7S,"pop dance,scandipop,uk dance"
236,6DgP9otnZw5z6daOntINxp,Joel Corry,"dance pop,pop dance,uk dance"
237,7uMh23xWiuR7zsNkuNcm2G,MNEK,"house,pop dance,uk contemporary r&b,uk dance,uk pop"
238,6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,"ohio hip hop,pop rap"
239,2cFrymmkijnjDg9SS92EPM,blackbear,pop
240,1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,"dance pop,pop,pop rap"
241,1OB278sOZVSFx5vXqYha83,J. Rey Soul,none
242,55fhWPvDiMpLnE4ZzNXZyW,Noah Cyrus,"alt z,pop"
243,63yrD80RY3RNEM2YDpUpO8,Melanie Martinez,"alt z,electropop,pop"
244,7bXgB6jMjp9ATFy66eO08Z,Chris Brown,"pop rap,r&b,rap"
245,7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,"latin viral pop,pop,r&b en espanol"
246,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,"r&b,rap,urban contemporary"
247,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,"barbadian pop,pop,urban contemporary"
248,4IMAo2UQchVFyPH24PAjUs,Jowell & Randy,"reggaeton,urbano latino"
249,12vb80Km0Ew53ABfJOepVz,Ñengo Flow,"reggaeton,trap latino,urbano latino"
250,3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,"modern rock,pop,pov: indie,rock"
251,5ZsFI1h6hIdQRw2ti0hz81,ZAYN,"pop,uk pop"
252,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"piano rock,pop"
253,3QJUFtGBGL05vo0kCJZsmT,salem ilese,"alt z,modern indie pop"
254,28gNT5KBp7IjEOQoevXf9N,Camilo,"colombian pop,latin pop,latin viral pop,reggaeton colombiano"
255,7IlRNXHjoOCgEAWN5qYksg,Aya Nakamura,"basshall,pop urbaine,r&b francais"
256,0EmeFodog0BfCgMzAIvKQp,Shakira,"colombian pop,dance pop,latin pop,pop"
257,31TPClRtHm23RisEBtV3X7,Justin Timberlake,"dance pop,pop"
258,6P5NO5hzJbuOqSdyPB7SJM,Ashe,alt z
259,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,pop
260,4dpARuHxo51G3z768sgnrY,Adele,"british soul,pop,pop soul,uk pop"
261,4fxd5Ee7UefO4CUXgwJ7IP,Giveon,r&b
262,20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,canadian contemporary r&b
263,0lAWpj5szCSwM4rUMHYmrr,Måneskin,"indie rock italiano,italian pop"
264,1U1el3k54VvEUzo3ybLPlM,Kali Uchis,colombian pop
265,2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,australian hip hop
266,3jK9MiCrA42lLAdMGUZpwa,Anderson .Paak,"escape room,hip hop,indie soul,neo soul"
267,6PvvGcCY2XtUcSRld1Wilr,Silk Sonic,neo soul
268,5L1lO4eRHmJ7a0Q6csE5cT,LISA,k-pop
269,1uU7g3DNSbsu0QjSEqZtEd,Masked Wolf,australian hip hop
270,1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,"puerto rican pop,reggaeton,trap latino,urbano latino"
271,4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,"gauze pop,indietronica,modern rock,pov: indie,shiver pop"
272,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,"permanent wave,pop"
273,048LktY5zMnakWq7PTtFrz,CKay,"afro r&b,afrobeats"
274,26cMerAxjx9GedFt0lMDjm,Bella Poarch,modern alternative pop
275,163tK9Wjr9P9DmM0AVK7lm,Lorde,"art pop,metropopolis,nz pop,pop"
276,4IVAbR2w4JJNJDDRFP3E83,6LACK,"atl hip hop,melodic rap,r&b,rap,trap"
277,7arQA31aZVS8yS6zUveWzb,CJ,nyc rap
278,7iK8PXO48WeuP03g8YR51W,Myke Towers,"reggaeton,trap latino,urbano latino"
279,2LmcxBak1alK1bf7d1beTr,Juhn,"reggaeton,reggaeton flow,trap latino,urbano latino"
280,3eVa5w3URK5duf6eyVDbu9,ROSÉ,k-pop
281,44vREmJC0OlVZjZaGLqVEd,Morray,pop rap
282,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,"chicago rap,hip hop,rap"
283,3rWZHrfrsPBxVy692yAIxF,WILLOW,"afrofuturism,pop,post-teen pop,pov: indie"
284,4exLIFE8sISLr28sqG1qNX,Travis Barker,rap rock
285,3PhoLpVuITZKcymswpck5b,Elton John,"glam rock,mellow gold,piano rock,rock"
286,6n28c9qs9hNGriNa72b26u,PNAU,"alternative dance,aussietronica,australian dance,australian electropop"
287,7FNnA9vBm6EKceENgCGRMb,Anitta,"funk pop,funk rj,pagode baiano,pop,pop nacional"
288,3klZnJvYGIbWritVwQD434,Duncan Laurence,dutch pop
289,5qa31A9HySw3T7MKWI9bGg,FLETCHER,"alt z,pop"
290,64H8UqGLbJFHwKtGxiV8OP,THE ANXIETY,modern alternative pop
291,1xoxekeb8jUVHKJB7m6bfg,Tyler Cole,bedroom soul
292,6TLwD7HPWuiOzvXEa3oCNe,Oliver Tree,alternative hip hop
293,2WgfkM8S11vg4kxLgDY3F5,StarBoi3,viral rap
294,3MZsBdqDrRTJihTHQrO6Dq,Joji,viral pop
295,3Xt3RrJMFv5SZkCfUE8C1J,Kim Petras,"alt z,pop,transpop"
